panel,n_cves,model,phase,normalized_score_pct
Command Injection,10,mimo-v2.5-free,R4,45.333
Command Injection,10,mimo-v2.5-free,R5,1.500
Command Injection,10,mimo-v2.5-free,R6,7.500
Authentication Bypass,10,claude-sonnet-4-6,R1,93.333
Authentication Bypass,10,claude-sonnet-4-6,R2,45.333
Authentication Bypass,10,claude-sonnet-4-6,R3,34.667
Authentication Bypass,10,claude-sonnet-4-6,R4,29.333
Authentication Bypass,10,claude-sonnet-4-6,R5,5.000
Authentication Bypass,10,claude-sonnet-4-6,R6,7.000
Authentication Bypass,10,deepseek-v4-flash-free,R1,94.000
Authentication Bypass,10,deepseek-v4-flash-free,R2,30.000
Authentication Bypass,10,deepseek-v4-flash-free,R3,22.667
Authentication Bypass,10,deepseek-v4-flash-free,R4,12.667
Authentication Bypass,10,deepseek-v4-flash-free,R5,6.500
Authentication Bypass,10,deepseek-v4-flash-free,R6,1.500
Authentication Bypass,10,glm-5.2,R1,93.333
Authentication Bypass,10,glm-5.2,R2,68.000
Authentication Bypass,10,glm-5.2,R3,62.667
Authentication Bypass,10,glm-5.2,R4,55.333
Authentication Bypass,10,glm-5.2,R5,22.000
Authentication Bypass,10,glm-5.2,R6,24.000
Authentication Bypass,10,gpt-5.5,R1,84.000
Authentication Bypass,10,gpt-5.5,R2,65.333
Authentication Bypass,10,gpt-5.5,R3,55.333
Authentication Bypass,10,gpt-5.5,R4,40.667
Authentication Bypass,10,gpt-5.5,R5,12.000
Authentication Bypass,10,gpt-5.5,R6,10.000
Authentication Bypass,10,mimo-v2.5-free,R1,92.333
Authentication Bypass,10,mimo-v2.5-free,R2,62.667
Authentication Bypass,10,mimo-v2.5-free,R3,58.000
Authentication Bypass,10,mimo-v2.5-free,R4,42.000
Authentication Bypass,10,mimo-v2.5-free,R5,2.500
Authentication Bypass,10,mimo-v2.5-free,R6,7.500
